English,Chinese
necklaces,项链
klutz,克鲁兹
outlawed,被取缔的
marwan,马尔万
atropine,阿托品
compress,压缩
tip-off,通风报信
brawn,膂力
putt,推杆
brainwashing,洗脑
gui,桂
law-abiding,守法
runaways,逃亡者
craters,陨石坑
corresponds,对应
highs,高潮
so.,所以。
bajor,贝久
faust,浮士德
passover,逾越节
nativity,诞生
cai,蔡
woolly,毛茸茸的
clitoris,阴蒂
verification,确认
brainstorm,头脑风暴
watchful,警惕的
pyre,柴堆
we`ll,我们会
sd-6,SD-6
lien,留置权
molester,猥亵者
counters,柜台
haw,山楂树
pokemon,口袋妖怪
outsmart,智取
bilfran,比尔弗兰
mortgaged,抵押的
teyla,泰拉
tarnished,失去光泽的
ancestry,祖先
conspirators,阴谋家
tamper,篡改
clemency,宽大处理
sinai,西奈半岛
portals,门户网站
custodian,保管人
matisse,马蒂斯
adalind,阿达林德
man-to-man,人对人
dobson,多布森
sarcastically,讽刺地
miyamoto,宫本
tweeted,发推文
dorky,愚蠢的
dominoes,骨牌
trini,特里尼
ovens,烤箱
candidacy,候选资格
gangrene,坏疽
nines,九个
sweeper,扫地机
shrill,尖锐
contagion,传染
la-la-la,啦啦啦
commonplace,平凡
ranjit,兰吉特
academics,学者
constabulary,警察
yasmin,亚斯明
dogg,狗狗
needlessly,不必要地
aramis,阿拉米斯
godson,龙芯
trois,三人行
reprieve,缓刑
skylight,天空之光
sg-1,SG-1
graff,格拉夫
satomi,里见
paella,西班牙海鲜饭
insightful,有洞察力的
pt,点
bryn,布林
darnley,达恩利
lawton,劳顿
toru,彻
proudest,最自豪的
blinked,眨眼
uniting,团结
babette,巴贝特
exceeds,超过
henchman,追随者
givens,吉文斯
dupree,杜普雷
finite,有限
kiyoshi,清
marys,玛丽斯
korra,科拉
monogamous,一夫一妻制
lull,麻痹
remnant,剩
coasters,杯垫
astor,阿斯特
johansson,约翰逊
tranquilizers,镇定剂
extort,勒索
pate,头部
hipster,潮人
two-time,两次
identifies,识别
gook,古克
anklet,脚链
sass,萨斯
first-time,第一次
i.t.,它。
sia,西亚
eights,八人制
carnations,康乃馨
mediocrity,平庸
nog,木栓
yukon,育空地区
striptease,脱衣舞
parma,帕尔马
barracuda,梭鱼
stupendous,惊人的
whereby,由此
amuses,逗乐
shih,施
noi,诺伊
wynonna,威诺纳
grog,烈酒
purged,清除的
yourfather,你的父亲
iceman,冰人
disconnects,断开连接
gr,格
warring,交战
nadya,纳迪亚
sawmill,锯木厂
konrad,康拉德
marshes,沼泽地
tots,小孩
our,我们的
aquatic,水
mariachi,流浪乐队
picturesque,如画
opted,选择了
loafer,浪子
preserves,果酱
satya,萨蒂亚
vaccinated,已接种疫苗
gennaro,根纳罗
confound,混淆
blindsided,措手不及
julián,朱利安
balances,余额
crayon,蜡笔
dwells,居住
superstars,超级巨星
doolittle,杜利特尔
lovey,爱你
overpriced,价格过高
spartans,斯巴达人
enslave,奴役
paraguay,巴拉圭
defiled,被玷污的
cascade,级联
pelham,佩勒姆
wetting,润湿
confounded,困惑的
subconsciously,潜意识里
rakesh,拉凯什
kinney,金尼
consenting,同意
repugnant,令人厌恶的
prepaid,预付费
tilted,斜
morph,变形
batmobile,蝙蝠车
ariadne,阿里亚德涅
ultron,奥创
bequeath,遗赠
halted,停止了
ascending,上升
gpa,平均绩点
epitome,缩影
moonlit,月光下
precedence,优先级
ulrik,乌尔里克
arduous,艰巨
psychoanalysis,精神分析
inexpensive,便宜的
photogenic,上镜的
knope,诺普
misinterpreted,被误解
res,资源
impersonal,客观的
biceps,二头肌
been-,到过-
cokes,可乐
beowulf,贝奥武甫
nissan,日产
biryani,布瑞雅尼
judiciary,司法
sideburns,鬓角
vagrant,流浪汉
springing,弹跳
stepmom,继母
plantations,种植园
mauled,被殴打的
bountiful,丰富
undue,不当的
squirming,蠕蠕
stewed,炖
originality,独创性
ashram,静修处
wristwatch,手表
oncologist,肿瘤学家
focal,焦点
arrhythmia,心律失常
pondering,沉思
beech,山毛榉
impossibility,不可能
incompatible,不相容
aravind,阿拉温德
journeyed,旅行过的
falsified,伪造的
pierson,皮尔森
gliding,滑翔
lachlan,拉克兰
translations,翻译
grope,摸索
grandmothers,祖母们
rubbers,橡胶
wimbledon,温布尔登
lucked,幸运的
dio,迪奥
miro,米罗
unc,北卡罗来纳大学
frantically,疯狂地
eastman,伊士曼
focuses,焦点
chasm,鸿沟
cold-hearted,冷酷无情
shoreline,海岸线
gazed,凝视着
macgregor,麦克格雷戈
odysseus,奥德修斯
stalemate,僵局
ballsy,大胆的
trainees,实习生
spiritus,醑
balzac,巴尔扎克
inquired,询问
serb,塞尔维亚人
landers,兰德斯
persecute,迫害
sο,所以
deok,德奥克
pigtails,辫子
apocalyptic,世界末日的
badgering,纠缠
blabbing,喋喋不休
domenico,多梅尼科
actin,肌动蛋白
torben,托尔本
moulin,磨坊
terrestrial,陆地的
bannon,班农
even-,甚至-
trickling,滴流
kamen,假面
congenital,先天性的
mikes,麦克斯
alerts,警报
unregistered,未注册的
houlihan,后里罕
muddle,糊涂
footman,男仆
tiwari,蒂瓦里
tripoli,硅藻土
un,联合国
bouts,回合
gannon,甘农
vaporized,汽化的
trigger-happy,好战的
emitting,发射
residing,居住
steroid,类固醇
luk,陆
boogeyman,妖怪
shackled,被束缚的
cocksuckers,混蛋
reasoned,有道理的
tommaso,托马索
commoners,平民
stian,斯蒂安
riddler,谜语者
enhancement,增强
receptors,受体
tadpole,蝌蚪
peacekeeper,和平卫士
yearns,渴望
marburg,马尔堡
granola,格兰诺拉麦片
bahadur,阁下
endorsed,赞同的
cinematographer,电影摄影师
trimester,三个月
unexplored,未探索的
wrappers,包装纸
recruiter,招聘人员
cheerfully,愉快地
uneventful,平安无事的
bookkeeping,簿记
ashe,阿什
dirtier,更脏
mere,仅仅
depositions,证词
swill,泔水
achmed,艾哈迈德
bassam,巴萨姆
reptilian,爬虫类
strewn,散落的
rawlings,罗林斯
medevac,医疗后送
razors,剃须刀
starscream,红蜘蛛
orsini,奥尔西尼
carpe,卡尔佩
handlers,处理程序
splutters,语无伦次
kar,卡尔
pineapples,菠萝
cheri,切里
acclaimed,广受好评
humongous,巨大的
to-to,到到
stifle,窒息
wehrmacht,国防军
underprivileged,弱势群体
kaji,加治
mita,米塔
wily,狡猾的
ivanovna,伊万诺夫娜
anecdote,轶事
overseer,监工
opportunist,机会主义者
kind-hearted,善良
preachers,传教士
spew,喷出
landis,兰迪斯
kinship,亲属关系
redford,雷德福
ramadan,斋月
disarray,混乱
dissuade,劝阻
colord,有色的
texan,得克萨斯州
trapdoor,活板门
abundantly,丰富地
boned,去骨的
h.g.,汞
partnered,合伙的
anemic,贫血的
clarisse,克拉丽丝
frenchie,法国人
cleanest,最干净的
kurdish,库尔德
submitting,提交
bassett,巴塞特
braying,叫声
zips,拉链
xun,埙
barba,巴尔巴
neighborly,睦邻的
winfield,温菲尔德
disconcerting,令人不安的
denominator,分母
solis,索利斯
s.u.v.,s.u.v.
cinder,煤渣
minibar,迷你吧
breastfeeding,哺乳
romancing,浪漫的
goingto,即将
faithless,不忠的
deline,划定线
ueno,上野
aiko,爱子
jumble,混乱
hav,哈夫
jetty,码头
plucky,勇敢的
noblest,最高尚的
wading,涉水
gentler,更温和
sanju,三州
pariah,贱民
bannon,班农
littering,乱扔垃圾
creeped,蠕动的
mook,穆克
hara,原
kringle,克林格尔
tester,测试员
molds,模具
underside,底面
pees,撒尿
degas,脱气
numbness,麻木
lob,高球
seventies,七十年代
canst,可以
elinor,埃莉诺
soulmate,灵魂伴侣
munni,穆尼
unsavory,令人厌恶的
radial,径向
plush,豪华的
macpherson,麦克弗森
evers,埃弗斯
malfunctioned,发生故障
grouch,牢骚
contemptible,可鄙
kathie,凯西
matsuda,松田
shoals,浅滩
kilometre,公里
baudelaire,波德莱尔
concoction,混合物
tylenol,泰诺
magoo,马古
yeogu,汝州
leftist,左派
fermented,发酵的
storehouse,库
ashleigh,阿什利
quimby,金比
natsumi,夏美
oddball,古怪的
dijon,第戎
poppers,波普斯
guadalcanal,瓜达尔卡纳尔岛
certification,认证
halliday,哈利迪
masquerading,伪装
bookshelf,书架
ten-hut,十间小屋
nev,内夫
course.,课程。
scents,气味
mothra,莫斯拉
dake,大可
traverse,遍历
stimulates,刺激
two-and-a-half,两个半
acquisitions,收购
magnanimous,坦荡
aprons,围裙
dickson,迪克森
airwaves,电波
offed,被开除
silks,帛
yearned,渴望
reprimanded,训斥
sais,赛斯
millionth,百万分之一
rowland,罗兰
parameter,范围
confidentially,秘密地
huh-uh,呵呵
thirty-eight,三十八
sleaze,肮脏的
belgians,比利时人
norwood,诺伍德
backups,备份
volley,截击
sidebar,侧边栏
het,赫特
diluted,稀
single-handed,单手
annapolis,安纳波利斯
tama,多摩
fissure,裂缝
capers,刺山柑
brimming,充满
windowsill,窗台
mediate,调解
behest,要求
canaries,金丝雀
tethered,拴着的
j-just,j-只是
lovell,洛弗尔
mariel,马里尔
smokescreen,烟幕
naz,纳兹
kwun,官
malware,恶意软件
kanzaki,神崎
bream,鲂
oomph,魅力
lope,洛普
come-,来-
bade,巴德
paşa,帕夏
biochemical,生化
hotties,辣妹
till,直到
mavericks,小牛队
pageants,选美比赛
tornadoes,龙卷风
rothstein,罗斯坦
compatibility,兼容性
toole,图勒
corinthians,科林斯人
keynote,基调
lyra,天琴座
hysterics,歇斯底里
racquetball,壁球
vicarage,牧师住所
unchecked,未经检查的
eroded,侵蚀
neely,尼利
substation,变电站
brixton,布里克斯顿
weathered,风化的
hydrate,水合物
enact,制定
slouch,伛
smartphone,手机
precautionary,预防性的
franca,弗兰卡
borscht,罗宋汤
seryozha,谢廖扎
knifed,被刀砍
gangnam,江南
linds,林兹
jerzy,泽西
skynet,天网
lmperial,帝国的
nuys,奈斯
editor-in-chief,主编辑
stagnant,停滞的
laundered,洗过的
majesties,陛下
miscalculated,失算的
kn,千
hooter,汽笛
furiously,愤怒地
chand,昌德
frugal,节俭
elia,埃利亚
prospero,普洛斯彼罗
bidet,坐浴盆
psychosomatic,心身的
primrose,报春花
dozing,打瞌睡
phat,柏
quran,古兰经
ano,阿诺
backroom,幕后室
ivana,伊万娜
steeple,尖顶
flirts,调情
diddy,迪迪
filtering,过滤
convergence,收敛
comparatively,比较
payed,已付
noh,能剧
resorted,采取了
underpaid,工资过低
squirting,喷出
irfan,伊凡
satsuma,萨摩
devine,迪瓦恩
saluting,敬礼
downpour,倾盆大雨
distillery,酒厂
portrayal,描绘
printout,打印出
sc,SC
radhika,拉迪卡
tweaking,调整
burials,墓葬
neel,尼尔
astoria,阿斯托利亚
attaching,附着
funny-looking,有趣的样子
hypodermic,皮下注射
subscribers,订户
kuala,瓜拉
akashi,明石
ruth-anne,露丝安妮
coasts,海岸
loc,洛克
ironclad,铁甲的
culver,卡尔弗
deniability,否认性
predominantly,主要是
verdi,威尔第
energize,通电
encampment,扎营
kojima,小岛
norwegians,挪威人
bowery,鲍厄里
terminals,终端
yee-ha,耶哈
harmonic,谐波
tinsel,箔
algernon,阿尔杰农
alphas,阿尔法
unrelenting,不屈不挠的
deciphered,破译的
hoboken,霍博肯
cornea,角膜
d.o.d.,日期
venu,维努
luís,路易斯
qian,钱
abductor,绑架者
pulaski,普拉斯基
belated,迟来的
implementing,实施
profusely,大量地
reformatory,管教所
disqualify,取消资格
buxton,巴克斯顿
broach,拉刀
bobcat,山猫
janitors,看门人
dreyfus,德雷福斯
caucus,党团会议
yellows,黄色
hikers,徒步旅行者
hosanna,和散那
blunt-force,钝力
calliope,卡利奥佩
instituted,设立的
synod,主教会议
eff,有效值
coe,科埃
yukie,由纪惠
postmaster,邮政局长
bosun,水手长
empathize,共情
almanac,年历
alleluia,哈利路亚
gogol,果戈里
akita,秋田
miho,三穗
argos,阿尔戈斯
runaround,跑来跑去
gravedigger,掘墓人
cavemen,穴居人
drummers,鼓手
atv,一台电视
newsome,纽瑟姆
bleh,布莱赫
eally,埃利
eid,开斋节
luthorcorp,卢瑟公司
impede,阻碍
poppies,罂粟花
mundy,芒迪
preside,主持
successive,连续
unfathomable,深不可测的
darl,达尔
bushel,蒲式耳
jean-baptiste,让-巴蒂斯特
winnetou,温内图
depose,免职
latinos,拉丁裔
kiddy,小孩子
nefertiti,纳芙蒂蒂
air-conditioned,有空调的
cooter,库特
cripes,克里普斯
cuz,因为
come.,来。
blocker,阻挡者
tenderloin,里脊肉
amal,阿迈勒
whaddaya,何达亚
sugarcane,甘蔗
thongs,丁字裤
galleys,厨房
tacoma,塔科马
palazzo,宫殿
guruji,古鲁吉
particulates,颗粒物
scipio,西皮奥
harumi,晴美
pillowcase,枕套
stroh,斯特罗
swordsmen,剑客
stragglers,落后者
gdr,民主德国
anesthesiologist,麻醉师
communicates,沟通
netherworld,幽冥界
pore,毛孔
cilantro,香菜
overthink,想多了
gertrud,格特鲁德
mert,梅尔特
theis,泰斯
inserting,插入
safeguards,保障措施
miura,三浦
vehicular,车辆的
lagos,拉各斯
soundproof,隔音
temperate,温带
taeko,妙子
sagging,下垂
pms,经前综合症
eveybody,大家
preyed,被捕食的
commited,致力于
xiong,熊
contradicts,矛盾
hauptmann,豪普特曼
newsman,新闻记者
avinash,阿维纳什
breeches,马裤
aretha,艾瑞莎
bellini,贝利尼
marchand,马尔尚
ici,伊西
mckee,麦基
lilacs,紫丁香
evaded,逃避
fertilize,施肥
atavus,阿塔乌斯
astonishingly,令人惊讶地
brenna,布伦纳
peta,佩塔
kitano,北野
expectant,期待的
igt,免疫组化
mastering,掌握
hallam,哈勒姆
ricans,黎肯人
chihiro,千寻
psychoanalyst,精神分析师
jiu,九
itto,伊藤
rowed,划船的
did.,做过。
whos,谁是
rance,兰斯
senegal,塞内加尔
mosey,漫步
corrie,科里
applicable,适用的
unclaimed,无人认领的
sacking,解雇
heyday,全盛时期
janko,詹科
rectangle,长方形
handprint,手印
long-standing,长期存在的
gael,盖尔
gorgon,戈尔贡
huston,休斯顿
globalization,全球化
yukimura,幸村
agustin,奥古斯丁
swayze,斯威兹
screamin,尖叫
perrier,巴黎水
tthe,那个
groped,摸索
fledgling,雏鸟
proportional,成比例的
piedmont,皮埃蒙特
kuroda,黑田
harkonnen,哈科宁
pharma,制药公司
yutaka,丰
millimetre,毫米
replicated,复制的
moxie,莫西
out,出去
divvy,迪维
bailout,救助
affidavits,宣誓书
ackroyd,阿克罗伊德
waterways,水路
embalmed,防腐的
constructions,构造
aaahh,啊啊啊
walther,瓦尔特
fantasia,幻想曲
ha,哈
home-,家-
glacial,冰川的
bekir,贝基尔
subpoenas,传票
paan,帕安
insinuations,影射
tomo,托莫
ook,奥克
claes,克拉斯
glint,闪烁
aloe,芦荟
ewa,埃瓦
troma,特罗马
bara,巴拉
apricots,杏子
sugarcoat,糖衣
nyborg,尼堡
laude,劳德
riza,里扎
harwood,哈伍德
delicatessen,熟食
beemer,比默
peso,比索
gassy,有气的
phobias,恐惧症
bailiffs,法警
starburst,星爆
rittenhouse,里滕豪斯
cataclysm,灾难
trumped,胜过
teardrop,泪珠
undamaged,未损坏的
boulogne,布洛涅
headdress,头饰
suitably,适当地
comforter,棉被
delinquency,违法行为
raine,雷恩
gο,去
mito,水户
hyuga,日向
ovarian,卵巢
blackberries,黑莓
maigret,梅格雷特
well-educated,受过良好教育的
diss,指责
accuser,原告
lopsided,片面
stocky,敦实
tsang,曾
loafing,游手好闲
one-hour,一小时
cucaracha,蟑螂
intubated,插管的
garfunkel,加芬克尔
bambino,巴比诺
omit,忽略
eurgh,厄格
vik,维克
magnifique,壮丽的
cybernetic,控制论的
placate,安抚
gullet,食道
greenhorn,新手
overestimated,高估了
zackary,扎卡里
bansi,半寺
well-liked,很受欢迎
fruition,成果
fueling,加油
10:00 AM,10:00 AM
keno,基诺
haveto,必须
hungrier,饥饿的
academia,学术界
maciste,马西斯特
y-,y-
pidge,皮吉
sept,九月
zenigata,钱形
shii,什伊
syntax,句法
round-the-clock,全天候
tsu,津
bateman,贝特曼
sunnydale,桑尼代尔
misheard,听错了
auguste,奥古斯特
jeffery,杰弗里
blundering,犯错误
wielded,挥舞着
guangdong,粤
turmeric,姜黄
savin,萨文
prospecting,勘探
blips,光点
rhoades,罗兹
seventy-two,七十二
cava,静脉
giancarlo,吉安卡洛
herein,在此处
gargling,漱口
unleashing,释放
disavow,否认
carpal,腕骨
lurid,耸人听闻的
telecommunications,电信
razor-sharp,锋利的
kishen,基申
cranny,裂缝
case-,案件-
studded,镶嵌的
southside,南边
jigger,吉格尔
tonight-,今晚-
daya,大雅
gq,格克
palais,宫殿
feeney,费尼
coolie,苦力
ccs,CCS
s.a.t.,卫星
tendulkar,滕杜卡尔
dissociative,解离的
prancer,腾跃者
derives,派生出
programmers,程序员
alphabetically,按字母顺序
sexton,塞克斯顿
eighty-five,八十五
flicka,弗利卡
swimsuits,泳衣
retractor,牵开器
kya,基亚
sleepwalker,梦游者
nono,不，不
bugatti,布加迪
ministerial,部长级的
28-year-old,28岁
vitro,体外
tomans,托曼斯
farnum,法纳姆
komodo,科莫多岛
meetin,见面
kar,卡尔
varga,瓦尔加
totalitarian,极权主义
swarmed,蜂拥而至
gott,戈特
kearns,卡恩斯
chui,垂
pyrenees,比利牛斯山
foretell,预言
impurities,杂质
crossroad,十字路口
serling,塞林
rothman,罗斯曼
saladin,萨拉丁
mediums,媒介
railings,栏杆
griselda,格里塞尔达
kiyomi,清美
balan,巴兰
wich,维奇
goanna,戈安娜
ensuing,随后的
potsdam,波茨坦
federales,联邦
principled,有原则的
gromit,格罗米特
aromatic,芳香
amélie,阿梅利
hesitates,犹豫
weirded,奇怪的
more,更多的
malle,马勒
keri,克里
mucky,肮脏的
men-,男人-
massaged,按摩的
gaffney,加夫尼
strindberg,斯特林堡
better-,更好的-
collette,科莱特
croix,克罗伊岛
hughie,休吉
shaven,刮胡子
chianti,基安蒂
whiteside,怀特塞德
rowdies,流氓
ray-ray,射线射线
ibis,宜必思酒店
soong,宋
crackin,裂纹
ivanova,伊万诺瓦
thorax,胸部
opiate,阿片剂
authoritarian,专制的
shoves,推挤
hammersmith,锤匠
alyson,艾莉森
guerre,战争
spreadsheet,电子表格
harvests,收获
pippo,皮波
prophesy,预言
meaden,米登
misinformation,误传
benefactors,恩人
brigands,强盗
surrogacy,代孕
bandwagon,跟风
hays,海斯
dumbbell,哑铃
fabri,法布里
tantric,密宗
foreclose,取消赎回权
vato,瓦托
reproducing,繁殖
frame-up,陷害
pascual,帕斯夸尔
valerio,瓦莱里奥
hairdressing,理发
akagi,赤城
sickened,恶心的
playgrounds,游乐场
nodos,结节
jacquie,杰奎
wainthropp,温斯罗普
mulatto,黑白混血儿
son-,儿子-
cuttin,切丁
dissing,鄙视
fructose,果糖
hsi-men,西门
netting,结网
spool,线轴
crewe,克鲁韦
finery,服饰
inedible,不可食用的
l.a,洛杉矶
gratefully,感激地
weaves,编织
co-ordinates,坐标
skinning,剥皮
serendipity,偶然性
millennial,千禧一代
flit,掠过
dilapidated,破旧的
kleiss,克莱斯
lasses,姑娘们
remorseful,悔恨的
blinker,信号灯
erol,埃罗尔
scimitar,弯刀
us.,我们。
ogawa,小川
walkie-talkies,对讲机
gekko,壁虎
lullabies,摇篮曲
distorting,扭曲
valmont,瓦尔蒙特
faring,费林
astonish,震惊
chapera,查佩拉
trotters,猪蹄
pried,撬开
schoolboys,男生
shirl,夏尔
οne,一个
unconscionable,不合情理的
manni,曼尼
credo,信条
gluing,胶合
nella,内拉
niecy,尼希
shanaya,沙纳亚
ecclesiastical,教会的
cravat,领结
ita,伊塔
hatton,哈顿
steppes,草原
well-fed,喂养得很好
sprinkling,洒水
bernardino,贝尔纳迪诺
tungsten,钨
reversible,可逆的
jeppe,杰佩
shirk,推脱
enormity,巨大
paley,佩利
teases,戏弄
technicalities,技术细节
chapo,矮子
beset,困扰
huntin,亨廷
mich,密歇根州
overloading,超载
shakespearean,莎士比亚的
disengaged,脱离的
devore,吞噬
banquets,宴会
laxatives,泻药
high-stakes,高风险
mukherjee,慕克吉
murder-suicide,谋杀-自杀
sudoku,数独
empathetic,有同理心的
phallic,阳具的
undergrowth,灌木丛
lhasa,拉萨
one-handed,一只手
eisenstein,爱森斯坦
valens,瓦伦斯
penmanship,书法
berets,贝雷帽
far-reaching,深远
denouncing,谴责
seraphim,六翼天使
achoo,阿乔
orator,演说者
nello,尼洛
exxon,埃克森公司
belles,美女
kirov,基洛夫
mannu,曼努
three-and-a-half,三点半
vanni,瓦尼
estás,埃斯塔斯
ethnicity,种族
psh,普什
goings-on,正在发生的事情
reloading,重新加载
adhd,多动症
encircled,包围
prosecutions,起诉
hammersley,哈姆斯利
molars,臼齿
odors,气味
troth,真理
xenon,氙
narrated,叙述的
albion,阿尔比恩
rutland,拉特兰
akechi,明智
markos,马科斯
rewire,重新布线
neve,内夫
aardvark,土豚
bonasera,博纳塞拉
boorish,粗野
yang-soon,阳顺
ramming,捣打
athelstan,阿塞尔斯坦
kon,康
ystad,于斯塔德
in-charge,负责
cait,凯特
pitts,皮茨
nosh,开胃菜
retracted,撤回
sawako,泽和子
take,拿
out-of-control,失控
objectionable,令人反感的
ice-skating,溜冰
simian,猿猴
kiko,基科
injector,注射器
mifune,三船
extinguishers,灭火器
snowboard,滑雪板
dongs,洞
grimace,鬼脸
immobilized,固定不动
arkwright,阿克赖特
koda,科达
nozomi,希望
appellate,上诉
parthenon,帕台农神庙
full-size,全尺寸
multimillionaire,多百万富翁
wolverines,狼獾
contreras,康特拉斯
motocross,越野摩托车
mancha,曼恰
pathogens,病原体
equitable,公平
favoritism,偏爱
monogram,字母组合
gilman,吉尔曼
allenby,艾伦比
whatevs,什么
rock-solid,坚如磐石
sbk,SBK
koshien,甲子园
bagman,推销员
skidding,集材
revolvers,左轮手枪
bossa,博萨
krüger,克鲁格
vanquishing,征服
glowed,发光的
legrand,罗格朗
urinals,小便池
astound,震惊
leer,斜视
sewell,休厄尔
bad-looking,不好看
transceiver,收发器
mailboxes,邮箱
kaveri,卡韦里
nakano,中野
lovecraft,洛夫克拉夫特
extremism,极端主义
pornos,色情片
doodling,涂鸦
shreveport,什里夫波特
macro,宏
relegated,降级
first,第一的
affiliations,隶属关系
teleprompter,提词器
humanoids,类人生物
respectively,分别
hiker,徒步旅行者
yggdrasil,伊格德拉西尔
milieu,环境
non-violence,非暴力
canny,精明的
pantsuit,裤装
ex-lover,前情人
preoccupation,全神贯注
aeronautics,航空学
linguist,语言学家
weaponized,武器化
sprinting,短跑
once-over,过一遍
life-size,真人大小
mujahideen,圣战者
indentation,缩进
gama,伽马
halen,海伦
carajo,卡拉霍
real-world,真实世界
dunning,催款
heya,嘿呀
mystics,神秘主义者
ernestine,欧内斯廷
edmonds,埃德蒙兹
walla,瓦拉
runways,跑道
rs.1,RS.1
king-size,特大号
clarion,号角
xiangyang,襄阳
gaviria,加维里亚
moldova,摩尔多瓦
ces,塞斯
pisser,小便
hamill,哈米尔
someting,某某
ghul,古尔
sukekiyo,助清
badness,坏事
stilettos,高跟鞋
apnea,呼吸暂停
wahey,瓦伊
disraeli,迪斯雷利
inversion,反转
hershel,赫谢尔
harnesses,安全带
fandango,凡丹戈
k2,k2
enforcers,执行者
kusum,库苏姆
ricin,蓖麻毒素
blankie,毯子
practitioners,从业者
kyo,京
lionesses,母狮
marcelino,马塞利诺
done-,完毕-
torturous,折磨人的
well-rounded,全面发展
mitchie,米奇
physio,理疗师
vamonos,瓦莫诺斯
emmys,艾美奖
heckle,质问
fervently,热切地
honouring,荣誉
woolsey,伍尔西
lata,拉塔
traynor,特雷诺
structurally,结构上
maharashtra,马哈拉施特拉邦
toei,东映
sorry,对不起
davison,戴维森
bau,巴乌
mcclintock,麦克林托克
berlusconi,贝卢斯科尼
hotspot,热点
frustrate,阻挠
sprinter,短跑运动员
story-,故事-
scala,斯卡拉
aesthetically,审美地
dirtied,弄脏了
nears,接近
ericsson,爱立信
headlock,头锁
favela,贫民窟
tol,托尔
walid,瓦利德
gbs,国标
lk,路克
quanzhen,全真
pecked,啄
resection,切除
pitch-black,漆黑的
boomhauer,布布豪尔
tts,语音合成
boers,布尔人
sitcoms,情景喜剧
datak,数据集
spritzer,喷雾器
john-john,约翰-约翰
teary,热泪盈眶
inundated,被淹没
taxidermist,动物标本剥制师
two-step,两步
she-hulk,女绿巨人
varicose,静脉曲张
kimo,基莫
joshy,乔希
stretchers,担架
octagon,八边形
peder,佩德
koba,科巴
indomitable,不屈不挠
nonce,随机数
clerics,神职人员
padawan,学徒
llamas,美洲驼
cept,概念
pentothal,喷托沙尔
slaver,奴隶贩子
hurries,赶紧
ruble,卢布
lubbock,拉伯克
appalachian,阿巴拉契亚
gregoire,格雷瓜尔
secreted,分泌的
canasta,卡纳斯塔
peonies,牡丹
damocles,达摩克利斯
arbitrarily,任意地
bespoke,定制的
prabhakar,普拉巴卡尔
ntac,NTAC
rivet,铆钉
dragoons,龙骑兵
min-jae,民载
satanists,撒旦主义者
disinherited,被剥夺继承权
cortés,科尔特斯
heisman,海斯曼
counterpoint,对位法
tums,塔姆斯
outa,欧塔
necromancer,死灵法师
redman,红衣男子
promicin,普罗米星
stockpiling,囤积
futari,二人
permian,二叠纪
pugh,皮尤
shaded,阴影
benefiting,受益
galia,加利亚
peal,钟声
iwas,我曾是
immortalized,永垂不朽
sweepers,扫地机
evaporation,蒸发
sidharth,悉达斯
caboodle,堆砌
yelena,叶莲娜
headlining,头条新闻
prodded,刺激的
exerted,竭尽全力
sheela,希拉
underhand,下手
berthe,泊位
manifesting,显化
lucienne,卢西安
cataract,白内障
ah-ha-ha,啊哈哈哈
baying,吠叫
hooliganism,流氓
wiseass,聪明人
colonic,结肠的
sharman,沙曼
wisecracks,俏皮话
preclude,排除
menelaus,墨涅拉俄斯
transcontinental,横贯大陆的
exclusivity,排他性
zorba,佐尔巴
sa,萨
lucilla,卢西拉
vigata,维加塔
haj,朝觐
hepatic,肝的
tobruk,托布鲁克
magister,魔导师
homegirl,居家女孩
tanikaze,谷风
diminishes,减少
pagina,帕吉纳
petrovic,彼得罗维奇
year-,年-
raro,拉罗
kneels,跪下
rane,拉内
gravitation,引力
dalliance,调戏
inhibitors,抑制剂
eisuke,荣介
rosalita,罗莎丽塔
vehemently,激烈地
basher,巴舍尔
conveys,传达
jeane,珍妮
hawes,霍伊斯
spacey,史派西
i--i--i,我--我--我
pelicans,鹈鹕
imperialists,帝国主义者
fede,联邦
volta,沃尔塔
collectibles,收藏品
ninety-eight,九十八
haeshin,解信
preservatives,防腐剂
interminable,没完没了的
liberalism,自由主义
uninspired,缺乏灵感
lockjaw,牙关紧闭
gladness,欢乐
fandor,范多尔
disenfranchised,被剥夺公民权
solidified,凝固的
pseudo,伪
n-,n-
compilation,汇编
braved,勇敢地
well-paid,高薪
honeycutt,霍尼卡特
look-out,小心
grecian,希腊语
typhoons,台风
canoeing,划独木舟
titti,蒂蒂
tailpipe,排气管
righ,对
double-time,双倍时间
58th,58号
whatchamacallit,什么查马卡利特
panhandle,狭长地带
batons,警棍
birdcage,鸟笼
referees,裁判员
shout-out,喊出来
rescuer,救援者
papá,爸爸
inoculated,接种过的
selene,硒
reheat,再加热
granary,粮仓
muk,穆克
botulism,肉毒中毒
thurber,瑟伯
descriptive,描述性的
meldrum,混乱
refilled,重新装满
antares,安塔雷斯
quinton,昆顿
illusionist,魔术师
manoel,马诺埃尔
gcpd,GCPD
malo,马洛
chatswin,查茨温
maligned,被诽谤的
pedes,足部
expertly,熟练地
stax,斯塔克斯
wishy-washy,犹豫不决
spritz,喷洒
darpa,美国国防部高级研究计划局
reynold,雷诺
unblemished,无瑕疵的
calculates,计算
tullius,图留斯
emojis,表情符号
zuri,祖里
affiliates,附属机构
murillo,穆里略
